epsilon_over_mass_per_kg,floquet_growth_per_tau,stable,mode_analysis_success,worst_b1_over_b0,worst_b2_over_b1,worst_b2_over_b0,max_abs_beta,pseudopotential_valid,classification,classification_label
1.0000000000000000e+08,0.0000000000000000e+00,True,True,1.3749676601094372e-16,0.0000000000000000e+00,5.7468029468403125e-17,5.4073112249189657e-10,True,2,Stable; pseudopotential valid
8.1681665195048065e+10,4.3216207687815044e-09,True,True,2.1608652268311524e-09,5.0003765669701672e-01,1.0805138618385523e-09,6.0869727024175071e-09,False,1,Stable; pseudopotential not valid
8.6416409518704407e+10,1.6004164502799817e-09,True,True,8.0022820578179125e-10,5.0003752100806687e-01,4.0014412825986011e-10,6.2609059947738617e-09,False,1,Stable; pseudopotential not valid
9.1425607157641434e+10,5.2634280889803335e-09,True,True,2.6317800892373940e-09,5.0003764913840731e-01,1.3159890710472933e-09,6.4398096013912903e-09,False,1,Stable; pseudopotential not valid
9.6725167022059494e+10,0.0000000000000000e+00,True,True,2.0011202778176380e-15,0.0000000000000000e+00,9.4180097310610672e-17,6.6238245157040684e-09,True,2,Stable; pseudopotential valid
1.0233192019511070e+11,4.4184225041207161e-09,True,True,2.2092670777417816e-09,5.0003770420739846e-01,1.1047168375349884e-09,6.8130979981817331e-09,False,1,Stable; pseudopotential not valid
1.0826367338740562e+11,4.9615554292597421e-09,True,True,2.4808398295683471e-09,5.0003771211072368e-01,1.2405134724905139e-09,7.0077799046121440e-09,False,1,Stable; pseudopotential not valid
1.1453926549005437e+11,3.0448548878359424e-09,True,True,1.5224661197847702e-09,5.0003766008865036e-01,7.6129039068813749e-10,7.2080248682743202e-09,False,1,Stable; pseudopotential not valid
1.2117862740585037e+11,5.2997589990719236e-09,True,True,2.6499466525811949e-09,5.0003757024373385e-01,1.3250728854322167e-09,7.4139915807033272e-09,False,1,Stable; pseudopotential not valid
1.2820284534862004e+11,6.6820866305042564e-09,True,True,3.3411272902387514e-09,5.0003759747667342e-01,1.6706892630747333e-09,7.6258438123277007e-09,False,1,Stable; pseudopotential not valid
1.3563422781176572e+11,5.3014696427091141e-09,True,True,2.6508014064373462e-09,5.0003772286106529e-01,1.3255006423855016e-09,7.8437496478111786e-09,False,1,Stable; pseudopotential not valid
1.4349637641869940e+11,5.0917878327702071e-09,True,True,2.5459580587893759e-09,5.0003774823248448e-01,1.2730749758698182e-09,8.0678820667792159e-09,False,1,Stable; pseudopotential not valid
1.5181426088017990e+11,5.2181596790183408e-09,True,True,2.6091455553774210e-09,5.0003766724174459e-01,1.3046710570050916e-09,8.2984189916899488e-09,False,1,Stable; pseudopotential not valid
1.6061429829660791e+11,3.5677175044506281e-09,True,True,1.7839036507048184e-09,5.0003763708538407e-01,8.9201896628642770e-10,8.5355434290737437e-09,False,1,Stable; pseudopotential not valid
1.6992443705714914e+11,1.1727269107316520e-09,True,True,5.8637817492720535e-10,5.0003767581850933e-01,2.9321117974129905e-10,8.7794436148096046e-09,False,1,Stable; pseudopotential not valid
1.7977424560213550e+11,2.3579877469388169e-09,True,True,1.1790235567414540e-09,5.0003746944144190e-01,5.8955595572484498e-10,9.0303131717454056e-09,False,1,Stable; pseudopotential not valid
1.9019500633065182e+11,6.0265861271320282e-09,True,True,3.0133687172652801e-09,5.0003763675301860e-01,1.5067977720468057e-09,9.2883512224203397e-09,False,1,Stable; pseudopotential not valid
2.0121981495155188e+11,7.1884782090063390e-09,True,True,3.5943295039364332e-09,5.0003764653690586e-01,1.7973000660265383e-09,9.5537626291047447e-09,False,1,Stable; pseudopotential not valid
